pick_bin,era,n_player_seasons,VORP_per_1M_mean,VORP_per_1M_med,VORP_per_1M_std,WS_per_1M_mean,WS_per_1M_med,avg_salary_M,avg_VORP,avg_WS,avg_BPM,bust_rate,sharpe_analog
Top 5,Pre-Analytics,789,0.25070128582335,0.1699999999999999,0.36436654286189035,0.8692909794587697,0.6005056890012642,10.327577855513308,2.0787072243346008,5.674144486692015,1.3776932826362485,0.12420785804816223,0.6880469426589914
Top 5,Post-Analytics,315,0.13585382523308762,0.0806303829943192,0.2701819587484409,0.5996878385627904,0.3910731045990197,12.061405904761905,1.3447619047619048,4.172380952380952,0.5771428571428572,0.19047619047619047,0.5028234522482584
Picks 6-14,Pre-Analytics,967,0.19375731256623618,0.1068000005339999,0.42215052475544995,0.957718651578011,0.6,6.547803263702172,1.0498448810754912,3.8273009307135473,-0.3715615305067218,0.23474663908996898,0.4589768369433604
Picks 6-14,Post-Analytics,573,0.14606570691083,0.0787087855218652,0.3171295099785127,0.7976728535316732,0.4973333606866681,7.984674973821989,0.8511343804537521,3.3150087260034904,-0.4108202443280977,0.23909249563699825,0.4605869284152294
Picks 15-30,Pre-Analytics,1362,0.18242536302931434,0.0860630188562787,0.4785677188769438,1.219453624942799,0.7054460093896713,4.819178854625551,0.6650513950073421,3.134581497797357,-0.980323054331865,0.29148311306901614,0.381190280567633
Picks 15-30,Post-Analytics,636,0.15072978101975473,0.07897603569722345,0.3927373225936408,0.9644785719039198,0.4924822954059923,6.492241812893082,0.7429245283018868,3.027201257861635,-0.6306603773584906,0.27672955974842767,0.3837928619167995
Second Round,Pre-Analytics,901,0.13100590059676803,0.0917142707405272,0.49092265954239034,1.3425657933910433,0.7666666666666666,4.140623349611543,0.5421753607103219,2.7865704772475026,-1.2086570477247502,0.33296337402885684,0.2668564957235507
Second Round,Post-Analytics,552,0.12345400224050342,0.0616907184718407,0.5056487328329163,1.1858875757863205,0.661169812927437,4.850554106884058,0.515036231884058,2.5340579710144926,-1.0954710144927537,0.3170289855072464,0.24414973127460965
