Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL,name_key,PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,DRAFT_TEAM,ORGANIZATION,pick_bin,era,years_pro,SALARY_USD,SALARY_SEASON_LABEL,VORP_per_1M,WS_per_1M
Jeff McInnis,28.0,POR,PG,75.0,1311.0,10.0,1.1,0.04,0.5,0.6,-4.1,-2.5,-1.5,-0.7,0.477,18.6,2003,2002-03,jeff mcinnis,976,Jeff McInnis,1996,37,2,Denver,North Carolina,Second Round,Pre-Analytics,7,,,,
Eduardo Nájera,30.0,DEN,PF,75.0,1658.0,13.5,4.8,0.138,2.9,1.8,0.2,-0.9,1.2,0.9,0.609,12.0,2007,2006-07,eduardo najera,2059,Eduardo Najera,2000,38,2,Houston,Oklahoma,Second Round,Pre-Analytics,7,4571428.0,2006-07,0.19687502460937809,1.0500001312500165
Boris Diaw,30.0,SAS,PF,75.0,1709.0,11.9,4.4,0.124,2.2,2.3,0.8,-0.7,1.5,1.2,0.603,12.0,2013,2012-13,boris diaw,2564,Boris Diaw,2003,21,1,Atlanta,Elan Bearnais Pau-Orthez (France),Picks 15-30,Pre-Analytics,10,4500000.0,2012-13,0.26666666666666666,0.9777777777777779
Boštjan Nachbar,27.0,NJN,PF,75.0,1660.0,12.4,2.2,0.064,1.0,1.2,-1.8,-0.8,-1.0,0.1,0.531,21.5,2008,2007-08,bostjan nachbar,2411,Bostjan Nachbar,2002,15,1,Houston,Universo Treviso Basket (Italy),Picks 15-30,Pre-Analytics,6,2500000.0,2007-08,0.04,0.8800000000000001
Bryant Reeves,27.0,VAN,C,75.0,1832.0,12.8,2.9,0.075,1.2,1.7,-2.8,-2.6,-0.2,-0.4,0.506,17.6,2001,2000-01,bryant reeves,735,Bryant Reeves,1995,6,1,Vancouver,Oklahoma State,Picks 6-14,Pre-Analytics,6,10110000.0,2000-01,-0.039564787339268055,0.2868447082096934
Andrew Nicholson,23.0,ORL,PF,75.0,1249.0,15.1,1.7,0.065,0.9,0.8,-2.7,-1.8,-0.9,-0.2,0.557,22.1,2013,2012-13,andrew nicholson,203094,Andrew Nicholson,2012,19,1,Orlando,St. Bonaventure,Picks 15-30,Post-Analytics,1,,,,
Kirk Hinrich,27.0,CHI,PG,75.0,2380.0,13.1,3.6,0.072,1.5,2.1,-0.8,-0.9,0.2,0.7,0.501,18.9,2008,2007-08,kirk hinrich,2550,Kirk Hinrich,2003,7,1,Chicago,Kansas,Picks 6-14,Pre-Analytics,5,11250000.0,2007-08,0.06222222222222222,0.32
Daequan Cook,21.0,MIA,SF,75.0,1833.0,10.3,2.2,0.056,0.9,1.3,-2.1,-0.8,-1.4,0.0,0.512,18.2,2009,2008-09,daequan cook,201161,Daequan Cook,2007,21,1,Philadelphia,Ohio State,Picks 15-30,Pre-Analytics,2,1273200.0,2008-09,0.0,1.7279296261388628
Desmond Mason,29.0,NOK,SF,75.0,2575.0,10.8,0.6,0.011,-1.2,1.8,-3.9,-2.7,-1.2,-1.3,0.493,21.9,2007,2006-07,desmond mason,2046,Desmond Mason,2000,17,1,Seattle,Oklahoma State,Picks 15-30,Pre-Analytics,7,8037036.0,2006-07,-0.1617511729448518,0.07465438751300851
Al Thornton,26.0,2TM,SF,75.0,2079.0,11.8,2.2,0.05,1.2,1.0,-3.1,-2.1,-1.0,-0.6,0.523,19.0,2010,2009-10,al thornton,201154,Al Thornton,2007,14,1,Los Angeles,Florida State,Picks 6-14,Pre-Analytics,3,1900200.0,2009-10,-0.3157562361856647,1.157772866014104
Royal Ivey,26.0,MIL,PG,75.0,1437.0,8.8,0.5,0.018,0.4,0.2,-4.4,-3.3,-1.1,-0.9,0.487,15.8,2008,2007-08,royaley,2767,Royal Ivey,2004,37,2,Atlanta,Brigham Young,Second Round,Pre-Analytics,4,770610.0,2007-08,-0.946728100784067,0.6488366359118101
Nicolas Batum,30.0,CHO,SF,75.0,2354.0,11.9,3.7,0.076,2.0,1.7,-0.3,-0.7,0.4,1.0,0.581,13.2,2019,2018-19,nicolas batum,201587,Nicolas Batum,2008,25,1,Houston,Le Mans Sarthe Basket (France),Picks 15-30,Pre-Analytics,11,24000000.0,2018-19,0.041666666666666664,0.15416666666666667
Brook Lopez,28.0,BRK,C,75.0,2222.0,20.4,4.9,0.105,3.1,1.8,2.3,2.9,-0.6,2.4,0.578,29.2,2017,2016-17,brook lopez,201572,Brook Lopez,2008,10,1,New Jersey,Stanford,Picks 6-14,Pre-Analytics,9,21165675.0,2016-17,0.11339113919116682,0.23150690918196562
Ruben Patterson,26.0,POR,SF,75.0,1765.0,18.8,5.6,0.151,3.7,1.9,2.1,2.0,0.2,1.8,0.567,22.1,2002,2001-02,ruben patterson,1739,Ruben Patterson,1998,31,2,Los Angeles,Cincinnati,Second Round,Pre-Analytics,4,4538000.0,2001-02,0.3966505068312032,1.2340237990304097
Manu Ginóbili,32.0,SAS,SG,75.0,2150.0,22.5,9.7,0.216,6.5,3.2,6.7,5.1,1.6,4.7,0.584,25.8,2010,2009-10,manu ginobili,1938,Manu Ginobili,1999,57,2,San Antonio,Viola Reggio Calabria (Italy),Second Round,Pre-Analytics,11,10728130.0,2009-10,0.4381005823009229,0.9041650315572238
Nikola Vučević,26.0,ORL,C,75.0,2163.0,19.1,4.0,0.088,0.8,3.1,1.4,0.8,0.6,1.9,0.498,24.8,2017,2016-17,nikola vucevic,202696,Nikola Vučević,2011,16,1,Philadelphia,Southern California,Picks 15-30,Post-Analytics,6,11750000.0,2016-17,0.16170212765957445,0.3404255319148936
Jamal Murray,21.0,DEN,PG,75.0,2447.0,16.0,5.1,0.1,2.8,2.3,0.6,1.4,-0.8,1.6,0.538,24.9,2019,2018-19,jamal murray,1627750,Jamal Murray,2016,7,1,Denver,Kentucky,Picks 6-14,Post-Analytics,3,3499800.0,2018-19,0.45716898108463344,1.4572261272072689
DeSagana Diop,27.0,2TM,C,75.0,1036.0,9.7,1.4,0.065,-0.2,1.6,-2.8,-3.6,0.8,-0.2,0.425,10.8,2009,2008-09,desagana diop,2205,DeSagana Diop,2001,8,1,Cleveland,Oak Hill Academy,Picks 6-14,Pre-Analytics,8,5585000.0,2008-09,-0.03581020590868398,0.2506714413607878
LeBron James,23.0,CLE,SF,75.0,3027.0,29.1,15.2,0.242,10.7,4.6,10.9,8.2,2.6,9.8,0.568,33.5,2008,2007-08,lebron james,2544,LeBron James,2003,1,1,Cleveland,Saint Vincent-Saint Mary,Top 5,Pre-Analytics,5,13041250.0,2007-08,0.7514617080417906,1.1655324451260423
Greg Buckner,26.0,PHI,SG,75.0,1514.0,11.6,3.1,0.1,1.5,1.7,-0.8,-1.7,1.0,0.5,0.519,14.7,2003,2002-03,greg buckner,1761,Greg Buckner,1998,53,2,Dallas,Clemson,Second Round,Pre-Analytics,5,,,,
Richard Hamilton,28.0,DET,SG,75.0,2763.0,18.1,8.1,0.141,5.7,2.4,1.2,1.8,-0.5,2.2,0.551,25.9,2007,2006-07,richard hamilton,1888,Richard Hamilton,1999,7,1,Washington,Connecticut,Picks 6-14,Pre-Analytics,8,9187500.0,2006-07,0.2394557823129252,0.8816326530612244
Blake Griffin,29.0,DET,PF,75.0,2622.0,21.0,8.0,0.147,5.1,2.9,5.1,4.9,0.2,4.7,0.581,30.2,2019,2018-19,blake griffin,201933,Blake Griffin,2009,1,1,Los Angeles,Oklahoma,Top 5,Pre-Analytics,10,32088932.0,2018-19,0.14646794726605422,0.2493071442826455
Jeff Green,35.0,DEN,PF,75.0,1849.0,12.5,3.9,0.101,2.7,1.2,-2.5,-1.2,-1.3,-0.2,0.627,16.3,2022,2021-22,jeff green,201145,Jeff Green,2007,5,1,Boston,Georgetown,Top 5,Pre-Analytics,15,4500000.0,2021-22,-0.044444444444444446,0.8666666666666667
Jameer Nelson,34.0,DEN,PG,75.0,2045.0,11.5,2.8,0.066,2.3,0.5,-2.0,-0.8,-1.2,0.0,0.544,15.8,2017,2016-17,jameer nelson,2749,Jameer Nelson,2004,20,1,Denver,Saint Joseph's,Picks 15-30,Pre-Analytics,13,4540525.0,2016-17,0.0,0.6166687772889698
Malcolm Brogdon,24.0,MIL,SG,75.0,1982.0,14.9,4.1,0.1,2.6,1.5,-0.4,0.0,-0.4,0.8,0.555,18.5,2017,2016-17,malcolm brogdon,1627763,Malcolm Brogdon,2016,36,2,Milwaukee,Virginia,Second Round,Post-Analytics,1,925000.0,2016-17,0.8648648648648649,4.432432432432432
Rasheed Wallace,32.0,DET,C,75.0,2419.0,15.7,6.2,0.123,1.8,4.4,2.0,0.4,1.6,2.5,0.513,19.6,2007,2006-07,rasheed wallace,739,Rasheed Wallace,1995,4,1,Washington,North Carolina,Top 5,Pre-Analytics,12,11650000.0,2006-07,0.2145922746781116,0.5321888412017167
Jonas Jerebko,27.0,2TM,PF,75.0,1230.0,15.0,3.5,0.135,2.0,1.4,0.9,0.2,0.6,0.9,0.549,16.2,2015,2014-15,jonas jerebko,201973,Jonas Jerebko,2009,39,2,Detroit,Pallacanestro Biella (Italy),Second Round,Pre-Analytics,6,4500000.0,2014-15,0.2,0.7777777777777778
Amir Johnson,27.0,TOR,PF,75.0,1979.0,15.4,5.1,0.124,3.5,1.6,-0.1,0.0,-0.1,0.9,0.603,15.7,2015,2014-15,amir johnson,101161,Amir Johnson,2005,56,2,Detroit,Westchester,Second Round,Pre-Analytics,10,7000000.0,2014-15,0.1285714285714286,0.7285714285714285
Stephen Jackson,28.0,2TM,SF,75.0,2479.0,14.4,4.1,0.079,2.3,1.7,-0.6,0.1,-0.7,0.9,0.54,22.1,2007,2006-07,stephen jackson,1536,Stephen Jackson,1997,42,2,Phoenix,Butler Community College,Second Round,Pre-Analytics,10,6120000.0,2006-07,0.14705882352941177,0.6699346405228758
Bryant Reeves,23.0,VAN,C,75.0,2777.0,14.4,2.4,0.042,1.4,1.0,-4.0,-1.8,-2.2,-1.4,0.523,22.3,1997,1996-97,bryant reeves,735,Bryant Reeves,1995,6,1,Vancouver,Oklahoma State,Picks 6-14,Pre-Analytics,2,,,,
Eric Gordon,28.0,HOU,SG,75.0,2323.0,13.2,3.8,0.079,2.5,1.4,-0.1,1.3,-1.4,1.1,0.557,22.1,2017,2016-17,eric gordon,201569,Eric Gordon,2008,7,1,Los Angeles,Indiana,Picks 6-14,Pre-Analytics,9,12385364.0,2016-17,0.08881450718767733,0.3068137521028853
Tyson Chandler,20.0,CHI,C,75.0,1827.0,15.8,3.9,0.102,1.8,2.1,-0.9,-1.1,0.2,0.5,0.565,18.1,2003,2002-03,tyson chandler,2199,Tyson Chandler,2001,2,1,Los Angeles,Dominguez,Top 5,Pre-Analytics,2,,,,
Marko Jarić,29.0,MIN,SG,75.0,2189.0,12.1,2.4,0.053,1.1,1.3,-0.9,-1.5,0.6,0.6,0.518,15.0,2008,2007-08,marko jaric,2060,Marko Jaric,2000,30,2,Los Angeles,Fortitudo Pallacanestro Bologna (Italy),Picks 15-30,Pre-Analytics,8,6050000.0,2007-08,0.09917355371900827,0.39669421487603307
Rudy Gay,26.0,2TM,SF,75.0,2687.0,15.6,4.0,0.072,0.1,3.9,1.1,0.5,0.5,2.1,0.494,27.2,2013,2012-13,rudy gay,200752,Rudy Gay,2006,8,1,Houston,Connecticut,Picks 6-14,Pre-Analytics,7,16460538.0,2012-13,0.12757784709102463,0.24300542303052305
Arron Afflalo,23.0,DET,SG,74.0,1234.0,8.9,1.8,0.069,0.8,1.0,-2.6,-2.8,0.2,-0.2,0.548,14.5,2009,2008-09,arron afflalo,201167,Arron Afflalo,2007,27,1,Detroit,California-Los Angeles,Picks 15-30,Pre-Analytics,2,1015440.0,2008-09,-0.19695895375403769,1.7726305837863392
Iman Shumpert,23.0,NYK,SG,74.0,1962.0,9.6,2.0,0.048,0.4,1.6,-2.0,-2.4,0.4,0.0,0.48,14.1,2014,2013-14,iman shumpert,202697,Iman Shumpert,2011,17,1,New York,Georgia Tech,Picks 15-30,Post-Analytics,3,1703760.0,2013-14,0.0,1.1738742545898484
Jason Hart,26.0,CHA,PG,74.0,1887.0,16.9,4.8,0.121,3.1,1.7,1.2,0.2,1.0,1.5,0.534,17.9,2005,2004-05,jason hart,2078,Jason Hart,2000,49,2,Milwaukee,Syracuse,Second Round,Pre-Analytics,5,,,,
JaVale McGee,34.0,PHO,C,74.0,1172.0,22.6,4.9,0.201,2.4,2.6,0.8,-0.1,0.9,0.8,0.651,22.8,2022,2021-22,javale mcgee,201580,JaVale McGee,2008,18,1,Washington,Nevada-Reno,Picks 15-30,Pre-Analytics,14,5000000.0,2021-22,0.16,0.9800000000000001
Wesley Johnson,30.0,LAC,SF,74.0,1486.0,9.8,1.7,0.055,-0.1,1.7,-0.7,-2.5,1.7,0.5,0.512,13.0,2018,2017-18,wesley johnson,202325,Wesley Johnson,2010,4,1,Minnesota,Syracuse,Top 5,Post-Analytics,8,5882260.0,2017-18,0.08500134302121974,0.2890045662721471
Stephon Marbury,22.0,NJN,PG,74.0,2881.0,20.7,7.4,0.123,6.1,1.2,2.4,3.8,-1.3,3.2,0.528,28.2,2000,1999-00,stephon marbury,950,Stephon Marbury,1996,4,1,Milwaukee,Georgia Tech,Top 5,Pre-Analytics,4,,,,
Shabazz Napier,26.0,POR,PG,74.0,1535.0,14.2,3.2,0.101,1.2,2.0,0.7,-0.7,1.4,1.0,0.544,19.5,2018,2017-18,shabazz napier,203894,Shabazz Napier,2014,24,1,Charlotte,Connecticut,Picks 15-30,Post-Analytics,4,2361360.0,2017-18,0.4234847714876173,1.3551512687603755
Richard Jefferson,34.0,DAL,SF,74.0,1244.0,11.3,2.3,0.088,1.4,0.9,-0.8,-0.8,0.0,0.4,0.577,15.3,2015,2014-15,richard jefferson,2210,Richard Jefferson,2001,13,1,Houston,Arizona,Picks 6-14,Pre-Analytics,14,915243.0,2014-15,0.4370424029465399,2.512993816942604
OG Anunoby,20.0,TOR,SF,74.0,1481.0,10.0,3.0,0.098,1.4,1.6,-0.6,-1.2,0.6,0.5,0.587,12.4,2018,2017-18,og anunoby,1628384,OG Anunoby,2017,23,1,Toronto,Indiana,Picks 15-30,Post-Analytics,1,2034120.0,2017-18,0.2458065404204275,1.474839242522565
Clint Capela,23.0,HOU,C,74.0,2034.0,24.5,10.2,0.242,6.2,4.1,3.4,2.4,1.0,2.8,0.65,19.4,2018,2017-18,clint capela,203991,Clint Capela,2014,25,1,Houston,Elan Chalon (France),Picks 15-30,Post-Analytics,4,2334528.0,2017-18,1.199385914411821,4.3691915453573476
Zaza Pachulia,20.0,MIL,C,74.0,1397.0,14.4,2.9,0.099,1.6,1.3,-1.3,-1.1,-0.2,0.2,0.526,16.5,2005,2004-05,zaza pachulia,2585,Zaza Pachulia,2003,42,2,Orlando,Ulkerspor (Turkey),Second Round,Pre-Analytics,2,,,,
Brandon Roy,23.0,POR,SG,74.0,2792.0,19.4,8.0,0.138,5.9,2.1,3.3,3.2,0.1,3.6,0.531,24.9,2008,2007-08,brandon roy,200750,Brandon Roy,2006,6,1,Minnesota,Washington,Picks 6-14,Pre-Analytics,2,2883120.0,2007-08,1.248647298759677,2.7747717750215046
Mason Plumlee,27.0,DEN,C,74.0,1439.0,16.9,3.6,0.12,1.8,1.8,0.5,-1.0,1.4,0.9,0.586,16.6,2018,2017-18,mason plumlee,203486,Mason Plumlee,2013,22,1,Brooklyn,Duke,Picks 15-30,Post-Analytics,5,14041096.0,2017-18,0.06409756047533612,0.25639024190134446
Chris Paul,30.0,LAC,PG,74.0,2420.0,26.2,12.7,0.253,9.2,3.5,7.9,5.9,2.0,6.0,0.575,27.1,2016,2015-16,chris paul,101108,Chris Paul,2005,4,1,New Orleans/Oklahoma City,Wake Forest,Top 5,Pre-Analytics,11,21468695.0,2015-16,0.2794766985138128,0.591559011854237
Willie Green,26.0,PHI,SG,74.0,1970.0,12.8,2.1,0.05,0.4,1.6,-1.6,-0.9,-0.8,0.2,0.492,23.9,2008,2007-08,willie green,2584,Willie Green,2003,41,2,Seattle,Detroit Mercy,Second Round,Pre-Analytics,5,3094000.0,2007-08,0.06464124111182935,0.6787330316742082
Caron Butler,29.0,2TM,SG,74.0,2783.0,13.7,3.5,0.061,0.6,2.9,-1.3,-1.3,0.0,0.5,0.507,22.1,2010,2009-10,caron butler,2406,Caron Butler,2002,10,1,Miami,Connecticut,Picks 6-14,Pre-Analytics,8,9780970.0,2009-10,0.051119674224540106,0.35783771957178073
Bonzi Wells,25.0,POR,SG,74.0,2348.0,18.4,6.0,0.122,3.0,3.0,1.9,1.4,0.5,2.3,0.538,26.4,2002,2001-02,bonzi wells,1719,Bonzi Wells,1998,11,1,Detroit,Ball State,Picks 6-14,Pre-Analytics,4,2028000.0,2001-02,1.1341222879684416,2.9585798816568047
LeBron James,32.0,CLE,SF,74.0,2794.0,27.0,12.9,0.221,9.8,3.0,7.6,6.4,1.2,6.7,0.619,30.0,2017,2016-17,lebron james,2544,LeBron James,2003,1,1,Cleveland,Saint Vincent-Saint Mary,Top 5,Pre-Analytics,14,30963450.0,2016-17,0.21638415615830922,0.4166202409615207
Keith Bogans,24.0,CHA,SG,74.0,1791.0,10.4,0.1,0.002,-1.0,1.1,-3.9,-2.6,-1.3,-0.9,0.465,22.0,2005,2004-05,keith bogans,2586,Keith Bogans,2003,43,2,Milwaukee,Kentucky,Second Round,Pre-Analytics,2,,,,
Rafer Alston,31.0,HOU,PG,74.0,2526.0,13.2,5.0,0.095,1.0,4.0,0.5,-0.5,1.0,1.6,0.492,20.7,2008,2007-08,rafer alston,1747,Rafer Alston,1998,39,2,Milwaukee,Fresno State,Second Round,Pre-Analytics,10,4550000.0,2007-08,0.3516483516483517,1.098901098901099
Jared Sullinger,21.0,BOS,PF,74.0,2041.0,16.4,3.9,0.091,1.9,2.0,-1.4,0.1,-1.5,0.3,0.497,24.1,2014,2013-14,jared sullinger,203096,Jared Sullinger,2012,21,1,Boston,Ohio State,Picks 15-30,Post-Analytics,2,1365720.0,2013-14,0.21966435286881644,2.855636587294614
Mo Williams,31.0,POR,PG,74.0,1834.0,11.8,2.2,0.056,1.0,1.2,-2.0,-1.2,-0.8,0.0,0.507,20.5,2014,2013-14,mo williams,2590,Mo Williams,2003,47,2,Utah,Alabama,Second Round,Pre-Analytics,11,2652000.0,2013-14,0.0,0.8295625942684767
George Hill,29.0,IND,PG,74.0,2524.0,13.2,6.2,0.118,3.4,2.8,0.7,0.1,0.7,1.7,0.555,15.8,2016,2015-16,george hill,201588,George Hill,2008,26,1,San Antonio,IUPUI,Picks 15-30,Pre-Analytics,8,8000000.0,2015-16,0.2125,0.775
Jerian Grant,25.0,CHI,PG,74.0,1686.0,14.3,3.3,0.094,2.3,1.0,-1.3,-0.9,-0.5,0.3,0.528,17.4,2018,2017-18,jerian grant,1626170,Jerian Grant,2015,19,1,Washington,Notre Dame,Picks 15-30,Post-Analytics,3,2639314.0,2017-18,0.11366589954814015,1.2503248950295416
Michael Beasley,29.0,NYK,PF,74.0,1653.0,17.8,2.4,0.069,0.9,1.5,-0.2,0.6,-0.8,0.7,0.556,26.9,2018,2017-18,michael beasley,201563,Michael Beasley,2008,2,1,Miami,Kansas State,Top 5,Pre-Analytics,10,,,,
Vladimir Radmanović,30.0,GSW,PF,74.0,1169.0,12.6,2.1,0.086,1.2,0.9,-0.1,-0.5,0.4,0.6,0.562,14.7,2011,2010-11,vladimir radmanovic,2209,Vladimir Radmanovic,2001,12,1,Seattle,KK FMP (Serbia),Picks 6-14,Pre-Analytics,10,6883800.0,2010-11,0.08716116098666433,0.3050640634533252
Derek Fisher,30.0,GSW,PG,74.0,2222.0,13.4,3.7,0.08,2.3,1.4,-1.1,-0.7,-0.4,0.5,0.519,19.4,2005,2004-05,derek fisher,965,Derek Fisher,1996,24,1,Los Angeles,Arkansas-Little Rock,Picks 15-30,Pre-Analytics,9,3000000.0,2004-05,0.16666666666666666,1.2333333333333334
Greg Ostertag,28.0,UTA,C,74.0,1107.0,12.7,2.1,0.09,0.5,1.6,-1.1,-2.3,1.2,0.3,0.474,12.6,2002,2001-02,greg ostertag,731,Greg Ostertag,1995,28,1,Utah,Kansas,Picks 15-30,Pre-Analytics,7,6933000.0,2001-02,0.043271311120726956,0.30289917784508874
Otto Porter Jr.,21.0,WAS,SF,74.0,1432.0,11.6,2.7,0.092,1.0,1.8,-0.5,-1.1,0.6,0.6,0.523,15.1,2015,2014-15,otto porter,203490,Otto Porter Jr.,2013,3,1,Washington,Georgetown,Top 5,Post-Analytics,2,4470480.0,2014-15,0.13421377570193804,0.6039619906587212
Joe Smith,29.0,MIL,PF,74.0,2265.0,15.0,5.5,0.116,4.0,1.4,-0.9,0.0,-0.9,0.6,0.564,16.1,2005,2004-05,joe smith,693,Joe Smith,1995,1,1,Golden State,Maryland,Top 5,Pre-Analytics,10,5899000.0,2004-05,0.10171215460247499,0.9323614171893542
Brevin Knight,33.0,UTA,PG,74.0,938.0,9.5,0.7,0.035,-0.6,1.3,-1.9,-4.0,2.1,0.0,0.414,13.5,2009,2008-09,brevin knight,1510,Brevin Knight,1997,16,1,Cleveland,Stanford,Picks 15-30,Pre-Analytics,12,2000000.0,2008-09,0.0,0.35
Kelvin Cato,23.0,POR,C,74.0,1007.0,13.3,2.7,0.129,0.7,2.0,-0.6,-3.2,2.6,0.4,0.496,14.7,1998,1997-98,kelvin cato,1509,Kelvin Cato,1997,15,1,Dallas,Iowa State,Picks 15-30,Pre-Analytics,1,,,,
Al-Farouq Aminu,24.0,DAL,SF,74.0,1366.0,14.4,3.3,0.115,1.2,2.0,0.7,-0.7,1.5,1.0,0.504,15.2,2015,2014-15,al-farouq aminu,202329,Al-Farouq Aminu,2010,8,1,Los Angeles,Wake Forest,Picks 6-14,Post-Analytics,5,981084.0,2014-15,1.0192807139857545,3.3636263561529898
Domantas Sabonis,21.0,IND,C,74.0,1810.0,17.5,4.7,0.126,2.5,2.2,-1.1,-0.6,-0.5,0.4,0.567,22.1,2018,2017-18,domantas sabonis,1627734,Domantas Sabonis,2016,11,1,Oklahoma City,Gonzaga,Picks 6-14,Post-Analytics,2,2659800.0,2017-18,0.1503872471614407,1.7670501541469283
Kenny Thomas,23.0,HOU,PF,74.0,1820.0,11.2,2.2,0.058,0.5,1.7,-2.3,-2.0,-0.3,-0.1,0.507,16.1,2001,2000-01,kenny thomas,1903,Kenny Thomas,1999,22,1,Houston,New Mexico,Picks 15-30,Pre-Analytics,2,885000.0,2000-01,-0.11299435028248588,2.4858757062146895
Richard Jefferson,35.0,CLE,SF,74.0,1326.0,9.7,2.7,0.099,1.4,1.3,-1.2,-1.6,0.5,0.3,0.585,13.4,2016,2015-16,richard jefferson,2210,Richard Jefferson,2001,13,1,Houston,Arizona,Picks 6-14,Pre-Analytics,15,947276.0,2015-16,0.3166975622732973,2.8502780604596762
Craig Smith,25.0,MIN,PF,74.0,1460.0,16.9,3.1,0.104,2.3,0.8,-0.6,0.0,-0.6,0.5,0.599,22.5,2009,2008-09,craig smith,200783,Craig Smith,2006,36,2,Minnesota,Boston College,Second Round,Pre-Analytics,3,2500000.0,2008-09,0.2,1.24
Othella Harrington,27.0,2TM,C,74.0,1815.0,12.0,2.5,0.067,0.8,1.7,-3.3,-2.9,-0.4,-0.6,0.549,19.2,2001,2000-01,othella harrington,970,Othella Harrington,1996,30,2,Houston,Georgetown,Picks 15-30,Pre-Analytics,5,2250000.0,2000-01,-0.26666666666666666,1.1111111111111112
Michael Kidd-Gilchrist,24.0,CHO,SF,74.0,1850.0,12.5,3.3,0.084,1.7,1.6,-2.1,-2.1,0.0,-0.1,0.536,16.1,2018,2017-18,michael kidd-gilchrist,203077,Michael Kidd-Gilchrist,2012,2,1,Charlotte,Kentucky,Top 5,Post-Analytics,6,13000000.0,2017-18,-0.007692307692307693,0.25384615384615383
Gerald Green,29.0,PHO,SG,74.0,1446.0,15.4,1.9,0.065,1.0,1.0,-0.3,1.2,-1.5,0.6,0.532,28.4,2015,2014-15,gerald green,101123,Gerald Green,2005,18,1,Boston,Gulf Shores Academy,Picks 15-30,Pre-Analytics,10,3500000.0,2014-15,0.17142857142857143,0.5428571428571428
Kevin Durant,20.0,OKC,SF,74.0,2885.0,20.8,7.9,0.132,5.2,2.7,3.3,3.4,-0.1,3.8,0.577,28.3,2009,2008-09,kevin durant,201142,Kevin Durant,2007,2,1,Seattle,Texas,Top 5,Pre-Analytics,2,4484040.0,2008-09,0.847450067349979,1.7618040873854828
Glen Davis,29.0,LAC,PF,74.0,904.0,10.8,1.4,0.072,0.2,1.1,-3.1,-3.9,0.8,-0.3,0.495,16.7,2015,2014-15,glen davis,201175,Glen Davis,2007,35,2,Seattle,Louisiana State,Second Round,Pre-Analytics,8,915243.0,2014-15,-0.3277818022099049,1.5296484103128893
Tim Duncan,23.0,SAS,PF,74.0,2875.0,24.8,13.0,0.218,6.7,6.4,5.6,3.8,1.8,5.5,0.555,28.7,2000,1999-00,tim duncan,1495,Tim Duncan,1997,1,1,San Antonio,Wake Forest,Top 5,Pre-Analytics,3,,,,
Jason Terry,31.0,DAL,SG,74.0,2491.0,19.3,7.3,0.14,5.4,1.9,2.9,3.3,-0.3,3.1,0.571,25.5,2009,2008-09,jason terry,1891,Jason Terry,1999,10,1,Atlanta,Arizona,Picks 6-14,Pre-Analytics,10,9196000.0,2008-09,0.33710308829926056,0.7938234014789038
Caris LeVert,28.0,CLE,SG,74.0,2237.0,12.4,4.4,0.095,1.4,3.1,-0.2,-1.0,0.8,1.0,0.546,18.7,2023,2022-23,caris levert,1627747,Caris LeVert,2016,20,1,Indiana,Michigan,Picks 15-30,Post-Analytics,7,18796296.0,2022-23,0.05320197128200151,0.23408867364080668
Manu Ginóbili,30.0,SAS,SG,74.0,2299.0,24.3,11.1,0.232,6.6,4.5,8.3,5.6,2.7,6.0,0.612,28.7,2008,2007-08,manu ginobili,1938,Manu Ginobili,1999,57,2,San Antonio,Viola Reggio Calabria (Italy),Second Round,Pre-Analytics,9,9079811.0,2007-08,0.660806706218885,1.2224924065049372
Josh Smith,19.0,ATL,SF,74.0,2050.0,15.4,2.4,0.055,0.6,1.8,-0.5,-0.9,0.4,0.8,0.506,18.4,2005,2004-05,josh smith,2746,Josh Smith,2004,17,1,Atlanta,Oak Hill Academy,Picks 15-30,Pre-Analytics,1,,,,
Jared Dudley,28.0,LAC,SF,74.0,1729.0,8.9,2.4,0.068,1.2,1.2,-1.5,-1.4,-0.1,0.2,0.541,13.5,2014,2013-14,jared dudley,201162,Jared Dudley,2007,22,1,Charlotte,Boston College,Picks 15-30,Pre-Analytics,7,4250000.0,2013-14,0.047058823529411764,0.5647058823529412
Wally Szczerbiak,31.0,CLE,SF,74.0,1527.0,12.1,4.5,0.14,2.3,2.2,0.1,-0.2,0.3,0.8,0.581,15.4,2009,2008-09,wally szczerbiak,1887,Wally Szczerbiak,1999,6,1,Minnesota,Miami (OH),Picks 6-14,Pre-Analytics,10,13775000.0,2008-09,0.058076225045372055,0.32667876588021777
Kyle Anderson,24.0,SAS,SF,74.0,1978.0,15.9,6.2,0.151,2.4,3.8,2.9,-0.4,3.3,2.4,0.582,13.5,2018,2017-18,kyle anderson,203937,Kyle Anderson,2014,30,1,San Antonio,California-Los Angeles,Picks 15-30,Post-Analytics,4,2151704.0,2017-18,1.115395054338329,2.88143722370735
Antonio Daniels,22.0,VAN,SG,74.0,1956.0,9.9,-1.3,-0.032,-0.9,-0.4,-5.0,-2.4,-2.6,-1.5,0.465,17.9,1998,1997-98,antonio daniels,1498,Antonio Daniels,1997,4,1,Vancouver,Bowling Green,Top 5,Pre-Analytics,1,,,,
