Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL
Andrae Patterson,23.0,MIN,PF,35.0,284.0,14.5,0.7,0.114,0.2,0.5,-1.9,-3.3,1.4,0.0,0.505,20.9,1999,1998-99
Blue Edwards,33.0,MIA,SF,24.0,283.0,12.2,0.4,0.074,0.0,0.5,1.2,-1.6,2.7,0.2,0.495,17.2,1999,1998-99
Randell Jackson,23.0,WAS,PF,27.0,271.0,11.6,-0.1,-0.014,-0.2,0.1,-5.6,-3.2,-2.4,-0.2,0.467,25.2,1999,1998-99
Jim McIlvaine,26.0,NJN,C,22.0,269.0,9.5,0.3,0.053,0.0,0.3,-3.6,-5.9,2.3,-0.1,0.447,10.9,1999,1998-99
Reggie Slater,28.0,TOR,PF,30.0,263.0,11.3,0.2,0.04,0.1,0.1,-7.3,-3.9,-3.5,-0.4,0.486,24.7,1999,1998-99
Scot Pollard,23.0,SAC,C,16.0,259.0,18.0,1.1,0.2,0.7,0.3,1.0,0.1,0.8,0.2,0.576,12.5,1999,1998-99
Brian Skinner,22.0,LAC,PF,21.0,258.0,13.2,0.1,0.012,0.0,0.1,-2.7,-1.7,-1.0,0.0,0.503,18.4,1999,1998-99
Dominique Wilkins,39.0,ORL,SF,27.0,252.0,15.4,0.3,0.053,-0.1,0.3,-2.4,0.0,-2.4,0.0,0.445,31.2,1999,1998-99
Anthony Miller,27.0,HOU,PF,29.0,249.0,13.1,0.6,0.118,0.3,0.3,-1.7,-1.2,-0.5,0.0,0.502,14.9,1999,1998-99
Toby Bailey,23.0,PHO,SG,27.0,249.0,11.3,0.2,0.041,0.0,0.2,-4.2,-2.6,-1.6,-0.1,0.425,19.0,1999,1998-99
Austin Croshere,23.0,IND,PF,27.0,249.0,12.3,0.3,0.054,0.1,0.2,-1.6,-1.3,-0.2,0.0,0.54,20.8,1999,1998-99
Derrick McKey,32.0,IND,SF,13.0,244.0,12.2,0.4,0.089,0.2,0.2,-0.3,-1.0,0.7,0.1,0.504,14.0,1999,1998-99
Doug Overton,29.0,3TM,PG,24.0,244.0,10.8,0.1,0.023,0.0,0.1,-3.8,-2.1,-1.7,-0.1,0.496,20.6,1999,1998-99
Doug Overton,29.0,ORL,PG,6.0,33.0,19.0,0.1,0.185,0.1,0.0,1.0,1.4,-0.5,0.0,0.615,24.2,1999,1998-99
Doug Overton,29.0,NJN,PG,8.0,174.0,10.6,0.0,0.012,0.0,0.0,-4.1,-2.0,-2.1,-0.1,0.507,19.8,1999,1998-99
Doug Overton,29.0,PHI,PG,10.0,37.0,4.5,-0.1,-0.069,-0.1,0.0,-6.6,-5.3,-1.3,0.0,0.333,20.8,1999,1998-99
Gerald Brown,23.0,PHO,SG,33.0,236.0,7.3,-0.3,-0.06,-0.4,0.1,-6.7,-4.4,-2.4,-0.3,0.42,22.9,1999,1998-99
Earl Boykins,22.0,2TM,PG,22.0,221.0,7.2,-0.3,-0.07,-0.4,0.1,-6.5,-4.0,-2.4,-0.3,0.405,21.5,1999,1998-99
Earl Boykins,22.0,NJN,PG,5.0,51.0,9.3,-0.1,-0.073,-0.1,0.0,-3.4,-1.5,-1.9,0.0,0.5,24.2,1999,1998-99
Earl Boykins,22.0,CLE,PG,17.0,170.0,6.5,-0.2,-0.069,-0.3,0.1,-7.4,-4.8,-2.6,-0.2,0.371,20.7,1999,1998-99
Popeye Jones,28.0,BOS,PF,18.0,206.0,12.4,0.5,0.113,0.3,0.1,-3.2,-1.4,-1.8,-0.1,0.462,14.2,1999,1998-99
Marlon Garnett,23.0,BOS,PG,24.0,205.0,6.5,0.0,0.002,-0.1,0.1,-4.9,-4.0,-0.9,-0.2,0.426,15.6,1999,1998-99
Michael Hawkins,26.0,SAC,PG,24.0,203.0,7.2,0.0,0.011,0.0,0.1,-3.7,-2.5,-1.2,-0.1,0.436,11.4,1999,1998-99
Ryan Stack,23.0,CLE,PF,18.0,199.0,9.7,0.4,0.086,0.2,0.1,-5.0,-3.9,-1.1,-0.2,0.513,13.4,1999,1998-99
Sam Cassell,29.0,2TM,PG,8.0,199.0,23.1,0.8,0.187,0.7,0.1,4.6,4.5,0.1,0.3,0.552,31.0,1999,1998-99
Sam Cassell,29.0,NJN,PG,4.0,100.0,23.7,0.4,0.194,0.4,0.0,5.4,5.8,-0.4,0.2,0.575,32.9,1999,1998-99
Sam Cassell,29.0,MIL,PG,4.0,99.0,22.5,0.4,0.179,0.3,0.1,3.7,3.2,0.5,0.1,0.525,29.1,1999,1998-99
Jahidi White,22.0,WAS,PF,20.0,191.0,9.4,0.2,0.039,-0.1,0.2,-6.1,-5.3,-0.8,-0.2,0.517,15.3,1999,1998-99
Voshon Lenard,25.0,MIA,SG,12.0,190.0,12.0,0.3,0.073,0.1,0.2,-3.5,-0.7,-2.9,-0.1,0.489,23.6,1999,1998-99
Tyronn Lue,21.0,LAL,PG,15.0,188.0,11.2,0.2,0.062,0.2,0.0,-3.6,-1.3,-2.3,-0.1,0.505,20.4,1999,1998-99
Matt Maloney,27.0,HOU,PG,15.0,186.0,2.2,-0.3,-0.083,-0.4,0.0,-6.8,-5.4,-1.4,-0.2,0.32,11.8,1999,1998-99
Jeff Sheppard,24.0,ATL,SG,18.0,185.0,8.7,0.3,0.073,0.1,0.2,-1.7,-2.5,0.8,0.0,0.447,13.2,1999,1998-99
Drew Barry,25.0,SEA,SG,17.0,183.0,9.0,0.2,0.048,0.1,0.1,-2.7,-3.1,0.4,0.0,0.49,12.3,1999,1998-99
Corey Beck,27.0,2TM,PG,24.0,180.0,10.1,0.2,0.051,0.0,0.2,-3.4,-4.5,1.1,-0.1,0.493,15.4,1999,1998-99
Corey Beck,27.0,DET,PG,8.0,30.0,12.6,0.1,0.114,0.0,0.0,-2.1,-4.2,2.1,0.0,0.563,17.2,1999,1998-99
Corey Beck,27.0,CHH,PG,16.0,150.0,9.7,0.1,0.038,-0.1,0.2,-3.7,-4.6,0.9,-0.1,0.477,15.1,1999,1998-99
Zydrunas Ilgauskas,23.0,CLE,C,5.0,171.0,17.5,0.5,0.134,0.3,0.2,0.0,0.8,-0.8,0.1,0.541,22.6,1999,1998-99
Charles O'Bannon,23.0,DET,SG,18.0,165.0,13.3,0.3,0.1,0.2,0.1,-2.0,-0.6,-1.4,0.0,0.47,19.4,1999,1998-99
William Cunningham,24.0,2TM,C,16.0,162.0,0.5,-0.2,-0.054,-0.3,0.1,-10.3,-8.9,-1.4,-0.3,0.159,6.5,1999,1998-99
William Cunningham,24.0,TOR,C,1.0,1.0,0.0,0.0,-0.025,0.0,0.0,-3.4,-0.7,-2.7,0.0,,0.0,1999,1998-99
William Cunningham,24.0,NJN,C,15.0,161.0,0.5,-0.2,-0.054,-0.3,0.1,-10.3,-9.0,-1.4,-0.3,0.159,6.5,1999,1998-99
Al Harrington,18.0,IND,PF,21.0,160.0,6.4,-0.2,-0.049,-0.3,0.1,-9.0,-6.2,-2.8,-0.3,0.359,22.0,1999,1998-99
Felton Spencer,31.0,GSW,C,26.0,159.0,9.8,0.3,0.078,0.0,0.3,-4.7,-6.0,1.3,-0.1,0.473,14.9,1999,1998-99
Rodrick Rhodes,25.0,2TM,SF,13.0,156.0,0.7,-0.7,-0.201,-0.7,0.0,-11.4,-8.2,-3.2,-0.4,0.341,24.5,1999,1998-99
Rodrick Rhodes,25.0,HOU,SF,3.0,33.0,0.4,-0.1,-0.143,-0.1,0.0,-11.4,-7.9,-3.5,-0.1,0.423,22.3,1999,1998-99
Rodrick Rhodes,25.0,VAN,SG,10.0,123.0,0.8,-0.6,-0.217,-0.6,0.0,-11.4,-8.3,-3.1,-0.3,0.325,25.1,1999,1998-99
Antoine Carr,37.0,HOU,PF,18.0,152.0,8.9,0.0,0.015,-0.1,0.1,-5.8,-6.2,0.5,-0.1,0.427,19.8,1999,1998-99
Rashard Lewis,19.0,SEA,SF,20.0,145.0,4.5,-0.4,-0.136,-0.5,0.1,-9.5,-7.5,-2.0,-0.3,0.404,24.4,1999,1998-99
Brian Evans,25.0,2TM,SF,16.0,145.0,10.5,0.1,0.045,0.0,0.1,0.7,0.1,0.7,0.1,0.372,14.5,1999,1998-99
Brian Evans,25.0,NJN,SF,11.0,121.0,12.0,0.2,0.075,0.1,0.1,2.1,1.1,1.0,0.1,0.419,13.8,1999,1998-99
Brian Evans,25.0,MIN,SF,5.0,24.0,3.1,-0.1,-0.105,-0.1,0.0,-6.2,-5.2,-1.0,0.0,0.2,18.3,1999,1998-99
Ruben Patterson,23.0,LAL,SF,24.0,144.0,14.3,0.2,0.07,0.1,0.1,-4.1,-1.5,-2.5,-0.1,0.503,24.0,1999,1998-99
Danny Schayes,39.0,ORL,C,19.0,143.0,1.9,0.0,-0.008,-0.2,0.1,-7.6,-7.2,-0.4,-0.2,0.431,12.9,1999,1998-99
Moochie Norris,25.0,SEA,PG,12.0,140.0,7.6,-0.2,-0.057,-0.3,0.1,-4.3,-4.0,-0.3,-0.1,0.404,20.4,1999,1998-99
Duane Causwell,30.0,MIA,C,19.0,137.0,8.1,0.0,-0.007,-0.2,0.2,-7.0,-7.6,0.6,-0.2,0.546,21.0,1999,1998-99
Pooh Richardson,32.0,LAC,PG,11.0,130.0,10.7,-0.1,-0.038,-0.1,0.0,-4.9,-1.8,-3.1,-0.1,0.371,16.3,1999,1998-99
Rick Mahorn,40.0,PHI,PF,16.0,127.0,1.5,0.0,-0.014,-0.2,0.2,-7.5,-7.6,0.1,-0.2,0.302,9.8,1999,1998-99
Lee Mayberry,28.0,VAN,PG,9.0,126.0,7.2,-0.1,-0.029,-0.1,0.0,-5.9,-4.8,-1.1,-0.1,0.472,11.7,1999,1998-99
Nazr Mohammed,21.0,PHI,C,26.0,121.0,10.0,0.0,0.013,-0.2,0.2,-7.5,-5.8,-1.7,-0.2,0.41,23.7,1999,1998-99
Khalid Reeves,26.0,DET,PG,11.0,112.0,6.8,0.1,0.025,0.0,0.1,-5.8,-4.8,-1.0,-0.1,0.46,14.5,1999,1998-99
David Vaughn,25.0,NJN,PF,10.0,103.0,13.5,0.2,0.08,0.0,0.1,-5.9,-5.1,-0.8,-0.1,0.599,16.9,1999,1998-99
Jerald Honeycutt,24.0,2TM,PF,16.0,102.0,4.4,-0.1,-0.027,-0.2,0.1,-5.1,-5.5,0.4,-0.1,0.412,20.3,1999,1998-99
Jerald Honeycutt,24.0,MIL,PF,3.0,12.0,0.2,0.0,-0.068,0.0,0.0,-15.0,-16.1,1.0,0.0,0.425,27.4,1999,1998-99
Jerald Honeycutt,24.0,PHI,PF,13.0,90.0,5.0,0.0,-0.022,-0.2,0.1,-3.8,-4.1,0.3,0.0,0.41,19.4,1999,1998-99
Shawn Respert,26.0,PHO,SG,12.0,99.0,11.4,0.1,0.046,0.0,0.1,-1.8,-2.4,0.6,0.0,0.458,21.2,1999,1998-99
John Coker,27.0,WAS,C,14.0,98.0,9.6,0.1,0.066,0.1,0.1,-5.2,-3.5,-1.7,-0.1,0.461,16.8,1999,1998-99
Rick Brunson,26.0,NYK,PG,17.0,95.0,6.2,-0.2,-0.105,-0.4,0.2,-3.3,-5.8,2.5,0.0,0.294,20.7,1999,1998-99
David Wingate,35.0,NYK,SG,20.0,92.0,4.2,0.0,-0.001,-0.1,0.1,-4.9,-5.7,0.9,-0.1,0.438,11.5,1999,1998-99
Rony Seikaly,33.0,NJN,C,9.0,88.0,0.5,-0.3,-0.177,-0.5,0.1,-11.3,-11.2,-0.2,-0.2,0.269,19.0,1999,1998-99
Jacque Vaughn,23.0,UTA,PG,19.0,87.0,13.3,0.1,0.069,0.0,0.1,-4.0,-4.5,0.5,0.0,0.542,30.0,1999,1998-99
Keith Closs,22.0,LAC,C,15.0,87.0,17.5,0.2,0.107,0.1,0.1,-0.8,-2.0,1.2,0.0,0.584,17.4,1999,1998-99
Fred Hoiberg,26.0,IND,SG,12.0,87.0,4.0,0.0,-0.014,0.0,0.0,-6.1,-4.5,-1.6,-0.1,0.402,14.7,1999,1998-99
Kevin Ollie,26.0,2TM,PG,8.0,72.0,3.7,0.0,-0.015,-0.1,0.1,-6.7,-7.4,0.6,-0.1,0.381,12.0,1999,1998-99
Kevin Ollie,26.0,SAC,PG,7.0,68.0,4.1,0.0,-0.011,-0.1,0.1,-6.3,-7.0,0.7,-0.1,0.395,11.4,1999,1998-99
Kevin Ollie,26.0,ORL,PG,1.0,4.0,-2.8,0.0,-0.085,0.0,0.0,-13.1,-13.4,0.3,0.0,0.266,21.3,1999,1998-99
Loren Meyer,26.0,DEN,C,14.0,70.0,-2.8,-0.3,-0.19,-0.3,0.0,-16.9,-13.2,-3.7,-0.3,0.277,21.3,1999,1998-99
Mark Macon,29.0,DET,SG,7.0,69.0,-0.4,-0.2,-0.162,-0.3,0.1,-5.5,-6.3,0.7,-0.1,0.225,17.9,1999,1998-99
Dwayne Schintzius,30.0,BOS,C,16.0,67.0,0.7,-0.2,-0.138,-0.3,0.1,-11.1,-11.1,0.0,-0.2,0.31,18.5,1999,1998-99
Antonio Lang,26.0,CLE,PF,10.0,65.0,8.8,0.1,0.1,0.1,0.1,-4.0,-3.7,-0.3,0.0,0.653,10.5,1999,1998-99
Gerard King,26.0,SAS,SF,19.0,63.0,13.6,0.2,0.166,0.1,0.1,-1.9,-2.9,1.0,0.0,0.525,19.1,1999,1998-99
Travis Williams,29.0,CHH,SF,8.0,62.0,8.8,0.0,0.029,0.0,0.1,-4.9,-5.1,0.2,0.0,0.508,15.9,1999,1998-99
James Cotton,23.0,SEA,SG,10.0,59.0,12.2,0.1,0.071,0.0,0.0,-4.2,-2.9,-1.4,0.0,0.482,22.2,1999,1998-99
Andrew Gaze,33.0,SAS,SG,19.0,58.0,8.5,0.0,0.025,-0.1,0.1,-2.9,-2.8,-0.1,0.0,0.42,23.2,1999,1998-99
Negele Knight,31.0,TOR,PG,6.0,56.0,2.4,-0.1,-0.112,-0.1,0.0,-10.2,-7.7,-2.5,-0.1,0.41,13.6,1999,1998-99
Marko Milič,21.0,PHO,SG,11.0,53.0,3.9,-0.1,-0.124,-0.2,0.0,-8.2,-7.3,-0.9,-0.1,0.4,22.7,1999,1998-99
Duane Ferrell,33.0,GSW,SF,8.0,46.0,-2.3,-0.2,-0.157,-0.2,0.0,-11.6,-8.2,-3.4,-0.1,0.159,16.2,1999,1998-99
Scott Williams,30.0,2TM,C,7.0,46.0,7.3,-0.1,-0.054,-0.2,0.1,-9.2,-9.3,0.1,-0.1,0.349,24.8,1999,1998-99
Scott Williams,30.0,PHI,C,2.0,17.0,-1.3,0.0,-0.124,-0.1,0.0,-6.7,-12.1,5.4,0.0,0.0,10.7,1999,1998-99
Scott Williams,30.0,MIL,C,5.0,29.0,12.2,0.0,-0.013,-0.1,0.1,-10.8,-7.7,-3.0,-0.1,0.387,33.1,1999,1998-99
Anthony Avent,29.0,UTA,PF,5.0,44.0,1.3,-0.1,-0.153,-0.2,0.1,-12.4,-9.2,-3.2,-0.1,0.324,22.7,1999,1998-99
Jerome James,23.0,SAC,C,16.0,42.0,11.4,-0.1,-0.137,-0.2,0.1,-10.9,-11.4,0.5,-0.1,0.41,38.9,1999,1998-99
Chris King,29.0,UTA,SF,8.0,42.0,-1.9,-0.1,-0.129,-0.2,0.1,-10.3,-12.3,2.0,-0.1,0.228,14.5,1999,1998-99
Jason Sasser,25.0,VAN,SF,6.0,39.0,10.7,0.0,0.017,0.0,0.0,-4.1,-3.8,-0.3,0.0,0.463,16.3,1999,1998-99
Marty Conlon,31.0,MIA,C,7.0,35.0,-3.3,-0.1,-0.194,-0.2,0.0,-16.5,-13.1,-3.4,-0.1,0.288,23.8,1999,1998-99
Bonzi Wells,22.0,POR,SF,7.0,35.0,26.3,0.1,0.103,0.0,0.1,1.0,2.3,-1.3,0.0,0.555,44.4,1999,1998-99
Mark Davis,25.0,MIA,SF,4.0,35.0,-3.1,-0.1,-0.122,-0.1,0.1,-16.7,-14.5,-2.2,-0.1,0.521,22.1,1999,1998-99
Oliver Miller,28.0,SAC,C,4.0,35.0,8.3,0.0,-0.052,0.0,0.0,-8.2,-4.0,-4.2,-0.1,0.455,18.3,1999,1998-99
Herb Williams,40.0,NYK,C,6.0,34.0,12.2,0.1,0.094,0.0,0.0,-1.5,-0.6,-1.0,0.0,0.563,15.4,1999,1998-99
Benoit Benjamin,34.0,PHI,C,6.0,33.0,-1.5,-0.1,-0.1,-0.1,0.0,-11.7,-9.1,-2.6,-0.1,0.286,13.7,1999,1998-99
Stanley Roberts,28.0,HOU,C,6.0,33.0,9.7,-0.1,-0.083,-0.1,0.0,-12.6,-7.1,-5.6,-0.1,0.424,29.3,1999,1998-99
Rasho Nesterović,22.0,MIN,C,2.0,30.0,3.5,0.0,-0.049,-0.1,0.0,-9.7,-6.5,-3.1,-0.1,0.311,20.3,1999,1998-99
Terry Mills,31.0,MIA,PF,1.0,29.0,6.7,0.0,-0.015,0.0,0.0,-6.8,-1.9,-4.9,0.0,0.507,20.3,1999,1998-99
Sean Marks,23.0,TOR,PF,8.0,28.0,7.8,0.0,-0.036,0.0,0.0,-7.5,-4.8,-2.7,0.0,0.619,19.2,1999,1998-99
Gerald Wilkins,35.0,ORL,SG,3.0,28.0,-14.8,-0.2,-0.381,-0.2,0.0,-20.1,-15.2,-4.9,-0.1,0.101,20.9,1999,1998-99
Makhtar N'Diaye,25.0,VAN,PF,4.0,27.0,3.9,0.0,0.026,0.0,0.0,-10.6,-8.0,-2.7,-0.1,0.434,11.5,1999,1998-99
Mark Pope,26.0,IND,SF,4.0,26.0,-8.5,-0.1,-0.23,-0.1,0.0,-19.2,-13.4,-5.7,-0.1,0.134,15.5,1999,1998-99
Steve Henson,30.0,DET,PG,4.0,25.0,5.6,0.0,-0.015,0.0,0.0,-3.6,-2.9,-0.6,0.0,0.694,11.2,1999,1998-99
Alvin Sims,24.0,PHO,SG,4.0,25.0,10.9,-0.1,-0.139,-0.1,0.0,-4.0,-2.6,-1.4,0.0,0.451,33.6,1999,1998-99
Randy Livingston,23.0,PHO,PG,1.0,22.0,27.2,0.1,0.275,0.1,0.0,7.1,2.4,4.7,0.1,0.676,20.7,1999,1998-99
Ben Davis,26.0,NYK,PF,8.0,21.0,34.4,0.1,0.238,0.1,0.0,6.4,11.9,-5.5,0.0,0.433,47.2,1999,1998-99
Miles Simon,23.0,ORL,SG,5.0,19.0,-7.2,-0.1,-0.289,-0.1,0.0,-17.4,-13.5,-3.8,-0.1,0.2,19.1,1999,1998-99
Mario Bennett,25.0,CHI,PF,3.0,19.0,10.9,0.0,0.065,0.0,0.0,-3.5,-4.3,0.8,0.0,0.451,21.7,1999,1998-99
Adonis Jordan,28.0,MIL,PG,4.0,18.0,18.9,0.0,0.081,0.0,0.0,7.3,1.3,6.0,0.0,0.521,20.6,1999,1998-99
Willie Burton,30.0,CHH,SF,3.0,18.0,0.6,-0.1,-0.193,-0.1,0.0,-14.2,-6.3,-7.9,-0.1,0.228,25.7,1999,1998-99
Eddie Johnson,39.0,HOU,SF,3.0,18.0,10.2,-0.1,-0.134,-0.1,0.0,-15.1,-8.7,-6.5,-0.1,0.462,39.2,1999,1998-99
Jamie Watson,26.0,MIA,SF,3.0,18.0,1.9,0.0,-0.024,0.0,0.0,-3.7,-3.3,-0.4,0.0,0.5,8.2,1999,1998-99
Korleone Young,20.0,DET,SF,3.0,15.0,31.3,0.1,0.28,0.1,0.0,9.4,9.9,-0.5,0.0,0.597,37.6,1999,1998-99
Micheal Williams,32.0,TOR,PG,2.0,15.0,-6.5,-0.1,-0.259,-0.1,0.0,-13.3,-7.9,-5.4,0.0,0.2,18.1,1999,1998-99
Casey Shaw,23.0,PHI,C,9.0,14.0,-14.9,-0.1,-0.498,-0.1,0.0,-29.8,-18.5,-11.3,-0.1,0.125,32.4,1999,1998-99
Paul Grant,25.0,2TM,C,6.0,13.0,-4.6,-0.1,-0.253,-0.1,0.0,-19.6,-16.2,-3.3,-0.1,0.333,27.9,1999,1998-99
Paul Grant,25.0,MIN,C,4.0,8.0,-14.3,-0.1,-0.319,-0.1,0.0,-29.7,-22.2,-7.5,-0.1,0.25,27.5,1999,1998-99
Paul Grant,25.0,MIL,C,2.0,5.0,10.9,0.0,-0.148,0.0,0.0,-3.4,-6.7,3.3,0.0,0.5,28.7,1999,1998-99
Joe Wolf,34.0,CHH,PF,3.0,12.0,-14.5,0.0,-0.179,0.0,0.0,-22.0,-20.4,-1.6,-0.1,0.0,7.4,1999,1998-99
Sam Jacobson,23.0,LAL,PG,2.0,12.0,20.6,0.0,0.185,0.0,0.0,-4.2,-4.0,-0.2,0.0,0.68,25.8,1999,1998-99
Stojko Vranković,35.0,LAC,C,2.0,12.0,10.7,0.0,0.011,0.0,0.0,-9.3,0.4,-9.7,0.0,0.25,15.1,1999,1998-99
Bruno Šundov,18.0,DAL,C,3.0,11.0,-8.8,-0.1,-0.328,-0.1,0.0,-19.4,-14.9,-4.5,0.0,0.286,33.4,1999,1998-99
Jimmy Oliver,29.0,PHO,SG,2.0,11.0,2.7,0.0,0.02,0.0,0.0,-7.9,-4.0,-3.9,0.0,0.5,12.6,1999,1998-99
Carlos Rogers,27.0,POR,PF,2.0,8.0,23.3,0.0,0.259,0.0,0.0,5.5,3.1,2.4,0.0,0.665,21.5,1999,1998-99
Gary Grant,33.0,POR,PG,2.0,7.0,18.1,0.0,0.149,0.0,0.0,9.6,2.2,7.4,0.0,0.0,6.5,1999,1998-99
Mikki Moore,23.0,DET,C,2.0,6.0,35.7,0.1,0.527,0.1,0.0,18.2,15.2,3.0,0.0,1.064,14.9,1999,1998-99
Monty Williams,27.0,DEN,SF,1.0,6.0,-7.6,0.0,-0.341,0.0,0.0,-20.0,-10.3,-9.6,0.0,0.174,21.7,1999,1998-99
Peter Aluma,25.0,SAC,C,2.0,5.0,3.1,0.0,-0.206,0.0,0.0,-19.8,-26.4,6.6,0.0,0.5,34.1,1999,1998-99
Jonathan Kerner,24.0,ORL,C,1.0,5.0,-15.2,0.0,-0.177,0.0,0.0,-22.1,-19.6,-2.4,0.0,0.0,9.1,1999,1998-99
Brian Shaw,32.0,POR,PG,1.0,5.0,-11.7,0.0,-0.358,0.0,0.0,-21.6,-17.9,-3.7,0.0,0.0,18.3,1999,1998-99
Trevor Winter,25.0,MIN,C,1.0,5.0,-4.3,0.0,0.202,0.0,0.0,-25.0,-24.4,-0.6,0.0,,0.0,1999,1998-99
Brandon Williams,23.0,SAS,SG,3.0,4.0,24.4,0.0,0.328,0.0,0.0,7.4,9.0,-1.6,0.0,0.568,20.5,1999,1998-99
Etdrick Bohannon,25.0,WAS,SF,2.0,4.0,0.0,0.0,-0.017,0.0,0.0,-4.6,-3.0,-1.6,0.0,,0.0,1999,1998-99
Kelly McCarty,23.0,DEN,SG,2.0,4.0,31.7,0.0,-0.238,0.0,0.0,-7.6,2.3,-9.9,0.0,0.667,56.6,1999,1998-99
Shammond Williams,23.0,ATL,PG,2.0,4.0,33.8,0.0,0.446,0.0,0.0,6.8,7.0,-0.3,0.0,0.543,32.5,1999,1998-99
Anthony Parker,23.0,PHI,SG,2.0,3.0,30.9,0.0,0.274,0.0,0.0,12.7,10.2,2.6,0.0,1.0,15.1,1999,1998-99
Tyson Wheeler,23.0,DEN,PG,1.0,3.0,76.1,0.1,1.367,0.1,0.0,51.1,42.5,8.5,0.0,1.064,28.4,1999,1998-99
Mark Baker,29.0,TOR,PG,1.0,2.0,-46.6,-0.1,-1.289,-0.1,0.0,-63.7,-39.4,-24.3,0.0,0.0,45.4,1999,1998-99
Litterial Green,28.0,CLE,PG,1.0,2.0,-19.7,0.0,-0.59,0.0,0.0,-27.0,-16.6,-10.4,0.0,0.0,24.4,1999,1998-99
Gheorghe Mureșan,27.0,NJN,C,1.0,1.0,-90.6,-0.1,-2.519,-0.1,0.0,-92.1,-68.9,-23.2,0.0,0.0,88.3,1999,1998-99
League Average,,,,,,,,,,,,,,,0.511,19.9,1999,1998-99
Michael Finley,26.0,DAL,SF,82.0,3464.0,19.2,8.3,0.114,6.4,1.9,2.1,3.0,-0.9,3.6,0.522,25.1,2000,1999-00
Gary Payton,31.0,SEA,PG,82.0,3425.0,23.6,13.9,0.195,10.5,3.5,6.4,5.8,0.7,7.3,0.535,26.8,2000,1999-00
Latrell Sprewell,29.0,NYK,SF,82.0,3276.0,15.7,6.6,0.097,2.5,4.1,1.0,0.5,0.5,2.5,0.515,24.7,2000,1999-00
Kevin Garnett,23.0,MIN,PF,81.0,3243.0,23.6,11.6,0.172,6.1,5.6,6.3,4.6,1.7,6.8,0.545,27.4,2000,1999-00
Shareef Abdur-Rahim,23.0,VAN,SF,82.0,3223.0,20.2,8.8,0.132,6.2,2.6,2.2,2.6,-0.4,3.4,0.547,25.0,2000,1999-00
Allan Houston,28.0,NYK,SG,82.0,3169.0,16.5,8.6,0.13,5.5,3.1,1.7,1.8,-0.2,2.9,0.569,24.0,2000,1999-00
Shaquille O'Neal,27.0,LAL,C,79.0,3163.0,30.6,18.6,0.283,11.7,7.0,9.3,7.3,2.0,9.0,0.578,31.2,2000,1999-00
Mike Bibby,21.0,VAN,PG,82.0,3155.0,16.7,5.6,0.086,4.5,1.1,0.6,1.9,-1.3,2.1,0.521,20.0,2000,1999-00
Jerry Stackhouse,25.0,DET,SG,82.0,3148.0,18.9,7.3,0.111,5.7,1.6,1.0,2.8,-1.7,2.4,0.545,29.2,2000,1999-00
Anthony Mason,33.0,CHH,SF,82.0,3133.0,14.4,8.9,0.136,4.9,3.9,0.8,0.1,0.7,2.2,0.56,14.4,2000,1999-00
Vince Carter,23.0,TOR,SF,82.0,3126.0,23.4,11.8,0.182,9.1,2.7,5.5,5.6,-0.1,5.9,0.543,30.0,2000,1999-00
Michael Dickerson,24.0,VAN,SG,82.0,3103.0,15.6,5.5,0.085,4.5,1.0,0.0,1.0,-1.0,1.6,0.53,23.1,2000,1999-00
Ray Allen,24.0,MIL,SG,82.0,3070.0,20.6,10.1,0.157,9.0,1.0,3.6,4.7,-1.1,4.3,0.57,25.6,2000,1999-00
Antoine Walker,23.0,BOS,PF,82.0,3003.0,17.8,5.0,0.08,2.3,2.7,0.7,1.8,-1.1,2.1,0.494,28.3,2000,1999-00
Elton Brand,20.0,CHI,PF,81.0,2999.0,20.6,7.5,0.121,4.2,3.3,1.3,2.2,-0.9,2.5,0.528,27.0,2000,1999-00
Reggie Miller,34.0,IND,SG,81.0,2987.0,17.3,10.1,0.162,8.0,2.0,2.7,3.0,-0.3,3.6,0.603,20.5,2000,1999-00
Dikembe Mutombo,33.0,ATL,C,82.0,2984.0,19.4,9.9,0.16,5.6,4.3,2.4,0.9,1.5,3.3,0.621,13.8,2000,1999-00
Jalen Rose,27.0,IND,SF,80.0,2978.0,16.7,7.3,0.118,4.4,2.9,1.4,1.2,0.2,2.5,0.547,23.2,2000,1999-00
Nick Van Exel,28.0,DEN,PG,79.0,2950.0,16.0,4.9,0.079,3.7,1.2,-0.2,2.0,-2.2,1.3,0.483,22.7,2000,1999-00
Karl Malone,36.0,UTA,PF,82.0,2947.0,27.1,15.3,0.249,10.7,4.5,7.5,6.4,1.1,7.1,0.582,31.9,2000,1999-00
Dirk Nowitzki,21.0,DAL,PF,82.0,2938.0,17.5,8.1,0.132,6.1,1.9,1.6,2.1,-0.5,2.6,0.564,21.2,2000,1999-00
Lindsey Hunter,29.0,DET,PG,82.0,2919.0,13.2,5.6,0.093,3.6,2.0,0.7,0.6,0.2,2.0,0.543,16.6,2000,1999-00
Juwan Howard,26.0,WAS,PF,82.0,2909.0,12.3,1.9,0.031,0.5,1.3,-2.8,-1.4,-1.4,-0.6,0.496,22.2,2000,1999-00
