Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL
Dale Ellis,36.0,DEN,SF,82.0,2940.0,12.9,3.1,0.051,3.2,0.0,-1.9,0.4,-2.3,0.0,0.537,21.5,1997,1996-97
Nick Van Exel,25.0,LAL,PG,79.0,2937.0,16.0,7.2,0.118,5.0,2.2,1.1,2.9,-1.8,2.3,0.518,21.0,1997,1996-97
Joe Dumars,33.0,DET,SG,79.0,2923.0,15.6,8.8,0.144,6.8,2.0,1.6,2.6,-1.0,2.7,0.586,18.9,1997,1996-97
John Stockton,34.0,UTA,PG,82.0,2896.0,22.1,13.6,0.226,10.0,3.6,6.6,5.6,1.0,6.3,0.656,18.4,1997,1996-97
Olden Polynice,32.0,SAC,C,82.0,2893.0,13.1,3.3,0.055,0.6,2.7,-2.8,-1.8,-1.0,-0.6,0.476,19.3,1997,1996-97
Patrick Ewing,34.0,NYK,C,78.0,2887.0,21.3,9.8,0.163,2.9,6.9,2.8,0.9,1.9,3.5,0.548,29.8,1997,1996-97
Charles Oakley,33.0,NYK,PF,80.0,2873.0,14.2,8.9,0.149,3.1,5.8,1.7,-0.4,2.1,2.7,0.545,15.4,1997,1996-97
Terrell Brandon,26.0,CLE,PG,78.0,2868.0,21.5,10.8,0.181,6.2,4.7,5.6,4.2,1.5,5.5,0.526,28.3,1997,1996-97
Hakeem Olajuwon,34.0,HOU,C,78.0,2852.0,22.7,9.1,0.154,3.5,5.6,3.5,1.5,2.0,3.9,0.558,30.4,1997,1996-97
Vlade Divac,28.0,CHH,C,81.0,2840.0,17.9,7.3,0.123,3.4,3.9,2.5,0.6,2.0,3.3,0.533,19.1,1997,1996-97
Loy Vaught,28.0,LAC,PF,82.0,2838.0,16.6,6.3,0.106,2.9,3.4,-1.1,-0.1,-0.9,0.7,0.522,20.5,1997,1996-97
Jim Jackson,26.0,2TM,SG,77.0,2831.0,15.1,4.4,0.075,2.8,1.6,-0.1,0.7,-0.9,1.3,0.526,21.6,1997,1996-97
Jim Jackson,26.0,DAL,SG,46.0,1676.0,15.2,2.8,0.081,1.8,1.1,-0.1,0.7,-0.8,0.8,0.532,21.3,1997,1996-97
Jim Jackson,26.0,NJN,SF,31.0,1155.0,15.0,1.6,0.066,1.1,0.5,-0.2,0.8,-1.0,0.5,0.518,22.0,1997,1996-97
Steve Smith,27.0,ATL,SG,72.0,2818.0,17.4,9.1,0.154,6.5,2.6,1.7,2.7,-1.0,2.7,0.548,25.0,1997,1996-97
Chris Webber,23.0,WSB,PF,72.0,2806.0,21.8,9.3,0.159,4.3,5.0,5.3,3.1,2.2,5.1,0.554,24.6,1997,1996-97
Shareef Abdur-Rahim,20.0,VAN,PF,80.0,2802.0,17.4,2.9,0.049,1.7,1.2,-1.8,0.3,-2.1,0.2,0.518,27.6,1997,1996-97
Michael Finley,23.0,2TM,SF,83.0,2790.0,14.5,3.9,0.067,2.3,1.6,0.3,1.0,-0.7,1.6,0.53,22.0,1997,1996-97
Michael Finley,23.0,PHO,SF,27.0,796.0,14.6,1.2,0.074,0.8,0.4,0.1,0.7,-0.6,0.4,0.538,21.0,1997,1996-97
Michael Finley,23.0,DAL,SF,56.0,1994.0,14.5,2.7,0.064,1.5,1.1,0.3,1.1,-0.8,1.2,0.527,22.4,1997,1996-97
Bryant Reeves,23.0,VAN,C,75.0,2777.0,14.4,2.4,0.042,1.4,1.0,-4.0,-1.8,-2.2,-1.4,0.523,22.3,1997,1996-97
Hersey Hawkins,30.0,SEA,SG,82.0,2755.0,17.6,10.9,0.19,7.0,3.9,4.2,2.8,1.4,4.4,0.616,17.5,1997,1996-97
Shawn Kemp,27.0,SEA,PF,81.0,2750.0,20.7,10.0,0.174,4.6,5.4,0.8,0.6,0.3,2.0,0.583,26.3,1997,1996-97
Chris Mullin,33.0,GSW,SF,79.0,2733.0,17.6,7.1,0.124,6.0,1.1,2.8,2.4,0.4,3.3,0.645,17.6,1997,1996-97
Mario Elie,33.0,HOU,SF,78.0,2687.0,14.3,8.9,0.159,6.3,2.6,1.5,0.8,0.7,2.4,0.662,13.9,1997,1996-97
Allan Houston,25.0,NYK,SG,81.0,2681.0,11.3,4.7,0.084,1.5,3.2,-1.1,-0.6,-0.5,0.6,0.531,22.2,1997,1996-97
Otis Thorpe,34.0,DET,C,79.0,2661.0,16.1,7.9,0.142,4.5,3.4,-0.6,-0.1,-0.5,0.9,0.563,19.8,1997,1996-97
Kevin Johnson,30.0,PHO,PG,70.0,2658.0,22.9,11.7,0.211,10.2,1.5,5.0,5.3,-0.3,4.7,0.631,22.6,1997,1996-97
Rick Fox,27.0,BOS,SF,76.0,2650.0,16.5,5.2,0.094,3.3,1.9,1.7,1.0,0.7,2.5,0.551,20.1,1997,1996-97
Walt Williams,26.0,TOR,SF,73.0,2647.0,14.9,5.4,0.098,3.3,2.1,0.8,1.0,-0.2,1.9,0.551,21.4,1997,1996-97
Danny Ferry,30.0,CLE,PF,82.0,2633.0,11.7,5.6,0.102,2.2,3.4,-0.4,-0.6,0.2,1.0,0.523,17.6,1997,1996-97
Rony Seikaly,31.0,ORL,C,74.0,2615.0,18.3,6.8,0.125,3.5,3.3,-1.1,-0.4,-0.7,0.6,0.567,23.7,1997,1996-97
Larry Johnson,27.0,NYK,SF,76.0,2613.0,13.8,7.7,0.141,4.0,3.7,1.3,0.5,0.8,2.2,0.57,17.5,1997,1996-97
Ervin Johnson,29.0,DEN,C,82.0,2599.0,14.3,5.2,0.096,1.4,3.8,-0.4,-2.2,1.8,1.1,0.543,11.2,1997,1996-97
Jeff Hornacek,33.0,UTA,SG,82.0,2592.0,18.8,10.2,0.19,7.2,3.0,4.0,3.0,1.0,3.9,0.596,20.3,1997,1996-97
P.J. Brown,27.0,MIA,PF,80.0,2592.0,13.8,7.5,0.139,2.1,5.4,0.1,-1.5,1.6,1.3,0.505,15.7,1997,1996-97
Dale Davis,27.0,IND,PF,80.0,2589.0,15.1,6.7,0.124,2.7,4.0,-0.1,0.2,-0.3,1.2,0.532,15.9,1997,1996-97
Tyrone Hill,28.0,CLE,C,74.0,2582.0,17.8,9.9,0.184,5.3,4.6,0.7,0.6,0.1,1.8,0.626,17.6,1997,1996-97
Antonio McDyess,22.0,DEN,PF,74.0,2565.0,15.5,1.8,0.034,0.0,1.8,-2.8,-1.9,-0.9,-0.5,0.509,26.6,1997,1996-97
Isaiah Rider,25.0,POR,SG,76.0,2563.0,13.8,5.0,0.093,2.6,2.4,-0.7,0.4,-1.1,0.9,0.557,23.0,1997,1996-97
